,U1,U10,U100,U101,U102,U103,U104,U105,U107,U108,U112,U113,U114,U115,U117,U118
bac83,1690,861,797,588,2713,774,866,734,1768,924,2413,1552,893,458,807,611
bac84,236,152,120,105,130,211,114,54,75,160,199,383,128,76,78,421
bac85,300,0,1572,110,92,77,124,81,325,3151,384,297,493,313,699,1448
bac86,250,0,140,53,159,111,224,103,0,0,89,76,104,70,90,89
bac87,183,54,179,154,116,61,96,0,105,84,155,60,185,70,67,68
bac88,857,456,261,332,223,198,235,268,168,219,349,222,319,609,185,244
bac89,1636,77,253,177,116,374,213,150,132,88,60,167,150,106,106,0
bac90,544,135,123,0,50,85,93,156,217,226,87,0,153,183,235,202
bac91,249,100,90,124,213,179,108,51,142,148,124,225,107,57,187,189
bac92,965,177,234,347,236,97,243,203,598,236,368,126,315,296,333,310
bac93,328,0,0,74,60,0,0,0,0,0,90,0,0,0,0,60
bac94,0,0,0,0,95,0,53,0,0,0,0,50,0,0,0,82
bac95,0,0,0,55,0,0,0,118,0,0,0,0,0,0,0,0
bac96,1532,284,1180,559,1035,305,1989,344,209,455,709,183,1177,296,260,402
bac97,466,273,269,299,663,211,582,147,399,280,663,219,547,211,468,479
bac98,618,0,388,106,520,269,0,171,268,365,607,626,205,255,451,455
bac99,348,102,60,100,159,985,162,51,365,292,418,3726,435,279,108,112
bac100,307,63,139,91,0,0,147,51,109,0,0,0,84,76,65,91
bac101,69,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0
bac102,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0
bac103,1163,1462,698,691,1415,864,1715,568,234,463,469,402,1186,521,718,1064
bac104,135,52,0,168,0,0,0,0,82,0,0,0,0,0,0,0
bac105,0,0,0,0,0,0,0,182,0,0,0,74,0,0,107,0
bac106,530,73,137,102,98,81,143,154,62,146,69,0,140,199,90,157
bac107,895,255,702,735,1656,630,1772,2995,442,426,337,907,1163,1041,2511,1498
bac108,446,0,101,58,53,0,55,0,117,0,50,0,50,0,76,0
bac109,1098,499,337,127,194,72,777,510,532,347,218,101,642,569,799,589
bac110,160,0,0,0,0,69,0,0,61,0,52,55,0,0,0,0
bac111,641,403,433,166,251,167,288,161,232,131,212,98,193,186,257,224
bac112,1114,91,464,118,272,133,572,210,371,85,134,125,302,169,353,259
bac113,5369,255,305,156,474,498,1446,158,2187,288,882,703,1519,327,1228,503
bac114,330,0,137,112,73,90,0,0,0,0,81,180,0,0,68,0
bac115,639,0,112,0,0,0,222,0,0,65,0,0,0,0,0,0
bac116,428,93,137,109,0,0,284,68,127,161,50,0,310,97,165,272
bac117,0,0,0,0,70,89,201,141,0,0,0,52,151,0,113,75
bac118,0,0,395,735,370,129,312,225,167,0,131,0,178,57,145,62
bac119,0,0,65,0,65,0,0,86,0,0,0,0,0,0,0,0
bac120,1469,379,579,531,1083,186,1283,1632,596,880,643,241,2057,546,636,651
bac121,0,0,384,379,296,292,0,226,384,172,0,136,0,0,0,0
bac122,407,318,0,0,0,0,956,0,0,0,95,0,891,206,494,564
bac123,1782,347,206,892,164,88,427,310,489,305,247,124,451,694,318,151
bac124,893,243,976,474,895,1118,708,378,3943,599,755,606,687,503,1201,338
bac125,196,0,87,121,265,53,110,55,97,0,183,0,75,57,145,0
bac126,183,414,123,313,431,226,500,125,133,175,113,203,352,54,843,530
bac127,717,427,1051,3013,1710,724,1607,2417,507,962,516,137,691,635,1974,1484
bac128,106,0,138,137,169,159,120,627,0,0,0,0,0,178,0,0
bac129,0,58,0,0,0,0,143,643,0,0,0,0,62,55,0,0
bac130,0,0,50,189,0,0,171,320,0,0,0,0,139,79,52,55
bac131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bac132,578,410,172,145,303,159,277,172,142,115,184,89,272,170,139,140
bac133,434,132,163,62,61,67,109,56,75,51,83,0,68,58,55,56
bac134,2352,425,2319,1722,1531,2437,1909,919,581,642,935,1313,1716,968,652,527
bac135,0,0,168,0,0,0,66,0,0,0,0,0,0,0,0,0
bac136,0,0,77,0,0,0,0,0,0,0,0,0,73,0,0,0
bac137,262,91,433,294,692,102,191,165,55,67,144,125,120,359,0,99
bac138,0,0,52,129,408,0,0,166,0,57,0,0,0,180,0,57
bac139,59,63,124,316,356,85,609,288,146,0,68,0,419,68,487,270
bac140,230,75,183,252,245,63,51,65,118,0,76,57,0,84,206,55
bac141,77,85,0,268,184,60,68,88,119,88,204,119,76,103,89,162
bac142,1176,203,640,630,385,279,612,120,202,86,258,146,333,125,274,232
bac143,60,55,158,260,704,87,217,573,98,57,150,0,81,154,251,234
bac144,61,0,0,106,88,0,0,255,0,0,0,180,0,65,0,0
bac145,3237,1203,7214,15266,4404,2716,4009,1633,1455,1310,6238,2147,2894,1243,1882,2859
bac146,368,0,213,451,52,75,169,126,95,63,87,65,328,186,113,213
bac147,763,142,649,1412,495,752,580,133,261,97,442,483,629,138,735,581
bac148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bac149,275,173,69,0,0,56,0,496,106,132,0,0,0,356,188,115
bac150,0,51,0,0,69,0,65,69,0,0,0,0,0,0,53,67
bac151,779,224,2454,432,776,178,361,455,76,378,309,149,396,271,308,512
bac152,7393,4188,1927,1308,1152,2905,2210,951,2292,1478,794,735,1175,919,989,903
bac153,15892,4215,6141,5959,6130,5820,7830,23410,5319,2253,3368,2153,7893,5522,2514,1337
bac154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bac155,450,3521,616,637,1454,399,472,2429,64,194,433,0,108,342,153,614
bac156,669,481,1476,406,1189,673,757,342,585,581,1533,511,435,202,338,810
bac157,0,0,0,0,0,0,194,0,0,0,0,0,156,0,58,101
bac158,188,0,146,245,140,82,85,374,66,0,0,0,0,147,53,0
bac159,406,91,208,167,229,171,833,95,0,0,80,0,306,0,95,85
bac160,649,151,1064,429,1310,114,319,148,655,221,1175,120,433,165,739,515
bac161,0,0,0,0,69,0,0,0,0,0,58,0,0,0,0,0
bac162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bac163,1584,71,1282,1138,4649,534,1838,572,153,212,1454,205,653,149,397,633
bac164,2368,1515,1180,1100,2512,1464,2291,895,1995,907,2126,1505,1692,880,989,745
bac165,0,0,88,385,136,85,168,182,0,73,0,0,76,0,104,253
bac166,349,0,328,52,88,254,369,60,0,75,136,0,233,63,146,196
bac167,0,0,0,0,0,0,0,0,99,0,0,54,0,0,0,0
bac168,0,0,409,175,243,0,109,0,69,0,0,0,58,0,143,58
bac169,80,0,50,50,60,0,0,0,51,0,51,0,0,51,0,0
bac170,0,0,0,0,0,0,0,0,0,0,0,148,0,0,50,0
bac171,475,165,123,194,481,99,252,158,109,73,182,50,190,95,352,175
bac172,0,0,0,321,52,0,0,0,0,0,0,0,0,0,91,0
bac173,240,0,94,78,215,0,81,99,325,375,551,279,440,326,188,158
bac174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bac175,128,53,0,0,0,0,165,0,0,0,0,0,0,0,0,0
bac176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,106
bac177,0,0,0,0,0,130,0,0,0,0,0,668,188,0,0,0
bac178,408,0,727,281,172,136,6759,108,0,0,0,0,643,0,0,0
bac179,177,0,23463,741,588,885,1170,768,258,871,3078,323,95,1937,631,146
bac180,941,280,323,0,0,387,0,0,0,0,0,240,0,0,68,137
Cancer,C,C,C,C,C,N,N,N,C,C,C,C,C,C,C,C
Sex,1,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2
Age,67,71,68,58,70,71,61,65,85,54,53,65,74,47,66,61
Lokal,3,3,3,2,1,,,,1,3,2,1,3,2,3,3
Stadium,5,2,1,3,2,,,,2,2,3,2,5,3,3,4
