Row,Column,p_corr
U1,U1,1.0
U1,U10,0.774653590850132
U1,U100,0.30026514627189216
U1,U101,0.4490716242751322
U1,U102,0.4069169875471534
U1,U103,0.35995223723153275
U1,U104,0.5564609785856238
U1,U105,0.4622887551080152
U1,U107,0.4512614524709047
U1,U108,0.46270524890055303
U1,U112,0.4654160687339638
U1,U113,0.23229139325708018
U1,U114,0.5807423220454623
U1,U115,0.5797424923140704
U1,U117,0.12460280465139092
U1,U118,0.3242645450755623
U1,U119,0.5436263949532719
U1,U12,0.053281746823049224
U1,U120,0.5777382130122523
U1,U121,0.12276520755541843
U1,U122,0.3492527010631509
U1,U123,0.5837414973380131
U1,U124,0.29744198831151714
U1,U125,0.5483657178024048
U1,U126,0.24935059180932065
U1,U127,0.5038727378404464
U1,U128,0.5679432654799955
U1,U129,0.7183189648166515
U1,U13,0.4593345892278357
U1,U130,0.6265872390559448
U1,U131,0.6074519762518116
U1,U132,0.4910534407277288
U1,U133,0.39933566580501434
U1,U134,0.4102949705187495
U1,U135,0.6902737540090319
U1,U136,0.7102724631068181
U1,U137,0.47477141542918294
U1,U138,0.7398198131065699
U1,U139,0.6014922091248349
U1,U14,0.23246891190798666
U1,U140,0.0314903123915751
U1,U141,0.40585575545373165
U1,U142,0.14695002197549095
U1,U143,0.20527764387467795
U1,U145,0.0965085312212531
U1,U146,0.3612264095756989
U1,U147,0.7571054279870593
U1,U148,0.3779788278386605
U1,U149,0.30691852300273353
U1,U15,0.5471447003688473
U1,U150,0.627428457781893
U1,U151,0.38399829767616545
U1,U152,0.41701532356096993
U1,U153,0.776483742165227
U1,U154,0.4067150787733872
U1,U156,0.6358005548504458
U1,U157,0.3448194720266112
U1,U158,0.3483873490536683
U1,U159,0.48362294235702946
U1,U16,0.210990362662136
U1,U160,0.624255968277253
U1,U161,0.3555785377071532
U1,U162,0.25599411917471726
U1,U163,0.6757384192444301
U1,U164,0.5757466425907997
U1,U165,0.6766515761569888
U1,U166,0.7028841637278618
U1,U167,0.5785212017381566
U1,U168,0.5406803063764212
U1,U169,0.5442807506504757
U1,U17,0.29131294911827904
U1,U170,0.5028395372991468
U1,U171,0.441108044720922
U1,U172,0.44323739694978703
U1,U173,0.6792481122831014
U1,U174,0.5164090763910805
U1,U175,0.6461272563113087
U1,U176,0.736788594221422
U1,U177,0.6660589069292675
U1,U178,0.42785754588793273
U1,U179,0.5794097560705452
U1,U18,0.23947203777292647
U1,U180,0.6020811104324233
U1,U181,0.5192048591554846
U1,U182,0.3321501254635167
U1,U183,0.49156561998404796
U1,U184,0.4417831690578157
