ASV,MannWU_stat,p_value,MSI_pos_mean,MSI_neg_mean
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_thetaiotaomicron.1,2244.0,0.8283472962291966,0.021466272868538652,0.004162915759369453
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_champanellensis.2,2229.0,0.8254247759645923,0.00039293159415734036,0.00043820136089127226
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_bicirculans.1,2123.0,0.8248763466040929,0.003701571937348079,0.002951480115054415
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.76,2145.5,0.8162340377170889,9.274486886311926e-05,0.00016753189524392837
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214-group_NA.47,2224.0,0.8145484214358758,0.00016230854724256634,0.0002286918177882334
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Fusicatenibacter_saccharivorans.1,2250.0,0.8114008543525726,0.01693301735371233,0.017600075219950793
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.17,2250.0,0.8059562710107606,0.0017289881502834156,0.0018668513625846603
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_plebeius.1,2133.0,0.8053451576666395,0.0004945882718085934,0.0019828566749059925
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.63,2136.0,0.7937294384748534,0.0001760632906533255,0.0003518570059575941
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.11,2133.0,0.7898932572113643,0.0008207701247399508,0.0006625689486284939
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.33,2145.0,0.7893813463720663,0.0005423653728296084,0.00033006293393382004
