Row,Column,p_corr
U299,U299,1.0
U299,U300,0.49577640796019085
U299,U301,0.5643881727637236
U299,U302,0.49389296831961327
U299,U303,0.6185122557327627
U299,U304,0.5355485277048989
U299,U305,0.5458825138133059
U299,U306,0.3826134191597506
U299,U307,0.4656316596618276
U299,U308,0.6023037008399171
U299,U309,0.6121313742645356
U299,U310,0.6735162181574229
U299,U311,0.5829245801631519
U299,U312,0.48206495450677617
U299,U313,0.38008993003947716
U299,U314,0.6280723989427792
U299,U315,0.5052020292152164
U299,U316,0.402084613161753
U299,U317,0.3111429471887931
U299,U318,0.19763727898016492
U299,U319,0.6650615501778381
U299,U320,0.4671566988736662
U299,U321,0.5136273489806065
U299,U322,0.34307962979210394
U299,U323,0.32659526610372386
U299,U324,0.546450298587016
U299,U325,0.6873256989945943
U299,U326,0.5744232280382507
U299,U327,0.5716288469098688
U299,U328,0.49179313692851795
U299,U329,0.1412459784000005
U299,U330,0.2860427581315334
U299,U331,0.4693286717677629
U299,U332,0.12417322532189322
U299,U333,0.36293506532845576
U299,U334,0.18915721089684515
U299,U335,0.4278818770886163
U299,U336,0.3992904520053936
U299,U337,0.2226674487155723
U299,U338,0.7170236668529678
U299,U339,0.4788736932791792
U299,U340,0.2318461278342053
U299,U341,0.47645378208508465
U299,U342,0.4160246511602141
U299,U343,0.18517698345814967
U299,U344,0.14863990782008177
U299,U345,0.6089913207814912
U299,U346,0.641482098094316
U299,U347,0.4009817459793796
U299,U348,0.4693505475663584
U299,U349,0.5218519026728948
U299,U350,0.41293160173831195
U299,U351,0.5392709689210614
U299,U352,0.3933670270772036
U299,U353,0.400739388618872
U299,U354,0.5449903314820439
U299,U355,0.6912602367533952
U299,U356,0.5077653086508482
U299,U357,0.12976297133293546
U299,U358,0.4642184101104746
U299,U359,0.21608624436207094
U299,U360,0.2766034324216856
U299,U361,0.5040715809739799
U299,U362,0.4330641596263511
U299,U363,0.3810712860642654
U299,U364,0.21537223308092132
U299,U365,0.7018371390669975
U299,U366,0.34902399977719906
U299,U367,0.47087913623452315
U299,U368,0.4406372732814558
U299,U369,0.366496727668047
U299,U370,0.5813368812213631
U299,U371,0.6495905601536571
U299,U372,0.512581569069929
U299,U373,0.32497492587239873
U299,U374,0.43827996239975303
U299,U375,0.3304432608574847
U299,U376,0.6162048825827393
U299,U377,0.4789755015371169
U299,U378,0.20817288450496868
U299,U379,0.3588953744362817
U299,U380,0.6641869634586522
U299,U381,0.24274163741569166
U299,U382,0.4064897428170616
U299,U384,0.7217149310619341
U299,U386,0.6922361594394913
U299,U387,0.6274481535817305
U299,U388,0.6026985955379034
U299,U389,0.6236297132587355
U299,U391,0.7460000009085883
U299,U392,0.5828336630478483
U299,U394,0.6242843573766221
U299,U395,0.24365573573454416
U299,U397,0.556194406448937
U299,U398,0.16706100172975935
U300,U300,1.0
U300,U301,0.6484306289682263
U300,U302,0.8258569508748348
U300,U303,0.35046082854382526
U300,U304,0.745135878323945
U300,U305,0.6639648532395916
U300,U306,0.4123900349150855
U300,U307,0.4752327662081739
U300,U308,0.5796748291351459
U300,U309,0.520851940230433
U300,U310,0.8275758731528783
U300,U311,0.5909428134881983
U300,U312,0.3728027090217211
U300,U313,0.7640590557214783
U300,U314,0.5069469748329266
U300,U315,0.7165964984781741
U300,U316,0.42459732407651474
U300,U317,0.2777166175664964
U300,U318,0.20035974874248677
