ASV,MannWU_stat,p_value,Cancer_pos_mean,Cancer_neg_mean,Cancer_pooled_stdev,Cancer_cohens_d
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ovatus.1,16066.0,4.8534551739122034e-05,0.0013061845506055826,0.00020575562812890006,0.002782027529904588,0.39554925702493776
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.62,17299.0,2.345417799330515e-06,0.0030471186957063356,0.0017828276622873008,0.0031990243713033786,0.39521144157583415
Bacteria_Firmicutes_Clostridia_Clostridia-vadinBB60-group_NA_NA_NA.56,15392.0,2.1004540244312737e-05,0.0003510524559594964,1.2183788871661703e-05,0.0008628574301658116,0.3927284569163596
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_bromii.2,15342.5,0.010660997687239063,0.0028026497447726506,0.0015991092477589328,0.003081539711488961,0.3905646558850226
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_7_NA.8,15627.5,3.3666641744710267e-06,0.0006836313434787571,0.0,0.0017511200113847305,0.3903966256077235
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214-group_NA.35,15498.0,8.062209793445516e-05,0.0002796443487312956,7.763424112229987e-05,0.0005276221305999715,0.3828689054025942
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Family-XI_Parvimonas_micra.1,16164.0,1.155477142506326e-06,0.0006791990138783592,4.3434484329103154e-05,0.0016765076479102867,0.37921958205303524
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_hominis.1,16610.0,9.292866500251654e-06,0.0015560725977230379,0.0007070154580159645,0.0022467617688847696,0.3779026114230713
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_merdae.1,15953.0,0.0013013370639837916,0.008156631614706832,0.00550690067675678,0.007028648446919251,0.3769901081212083
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.99,17208.0,4.7284340338965914e-08,0.0013978005422174795,0.0001637808055326144,0.0032940666624735214,0.3746189325015776
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_finegoldii.1,15594.0,1.3105595300568845e-05,0.0005819416136834744,5.7171550171373844e-05,0.0014231660694466984,0.36873424316258596
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.116,14918.0,0.000703602805325795,0.00031926596232137775,2.3494372022992967e-05,0.0008047230740145524,0.367544562656639
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Frisingicoccus_NA.1,14915.0,0.004775035351439217,0.0004087736570109973,0.00012384993554408205,0.0007856537014583818,0.3626581545253605
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.37,16189.5,6.355551936867028e-06,0.0007152644533855214,0.00011077433863003918,0.001730708298544237,0.3492732514566096
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.141,15985.5,0.00022739973788081765,0.0010228383137273044,0.00033149160799257003,0.0019849626782072497,0.3482920426287989
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.47,16146.0,0.0006023101694117545,0.010940846670069605,0.005414085505073382,0.01613675755189809,0.3424951479391927
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Sellimonas_intestinalis.1,14825.0,0.003500245281979804,0.0003156349200392077,9.39072346275194e-05,0.0006499498359289864,0.3411458441169824
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.33,14893.5,0.0017419846281671837,0.0002957122156346674,8.46020419517107e-05,0.0006213496844745615,0.33976065162321606
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.13,18296.5,2.768577233707908e-10,0.0028561780369833105,0.0007556178700380315,0.006306770787443026,0.3330642951425409
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.6,16005.0,1.368724848019982e-05,0.0007885112042136929,0.0001416845940347626,0.0019701630361716486,0.3283112099371334
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.13,15443.0,0.002040075272679371,0.0010073554465263035,0.00034378970607050225,0.0020297465358750204,0.32692049412452334
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.11,15504.0,0.002952738458319678,0.0012922420516915556,0.0005544908533481181,0.0023020041878060496,0.32048212694459055
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_shahii.2,15319.5,0.008593604896638836,0.0014632475222329825,0.0007884118523417883,0.0021142439306805986,0.31918534096203227
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.97,18343.5,3.3631176455179396e-09,0.0049227505723270495,0.002009499299387103,0.009146225004211112,0.31851952817677515
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Peptostreptococcus_stomatis.1,16731.0,4.569594804822485e-08,0.0010054276283293724,4.0949534181881004e-05,0.003038888460844844,0.31737857659947016
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_intestinalis.3,14691.0,0.0005851014282502738,0.00023899214555938626,9.890015323101663e-06,0.0007273777801155094,0.314969932405555
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_NA.8,14856.5,0.01640504110279935,0.0005679279667925407,0.00026786664125324567,0.0009532279271861218,0.3147844465961674
