ASV,MannWU_stat,p_value,MSI_pos_mean,MSI_neg_mean
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_champanellensis.2,2229.0,0.8254247759645923,0.00039356439995538647,0.0004391749983037309
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_bicirculans.1,2123.0,0.8248763466040929,0.0037077307142838636,0.002955275145783167
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.76,2145.5,0.8162340377170889,9.284168995318088e-05,0.00016762440851161628
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.47,2224.0,0.8145484214358758,0.00016230854724256634,0.0002287442256682524
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium_eligens_group_NA.13,2119.0,0.8142259648943475,0.005339372465146326,0.004385982497311034
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Fusicatenibacter_saccharivorans.1,2251.0,0.8085769478861308,0.01698747204947567,0.01764929259798751
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.17,2250.0,0.8059562710107606,0.0017306444107243562,0.0018697234086504958
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_plebeius.1,2133.0,0.8053451576666395,0.0004947989189738813,0.0019853020994133365
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.11,2134.0,0.7939590948687116,0.0008254087785830597,0.0006640744446552683
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.63,2136.0,0.7937294384748534,0.0001760632906533255,0.0003519089506918712
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.40,2113.0,0.7899621568841069,0.0015353923492462806,0.00416033069024968
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.33,2145.0,0.7893813463720663,0.0005428935624367116,0.00033017691509384435
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.21,2247.0,0.7863842520326696,0.0005351335153818389,0.0007931173022953784
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.43,2120.0,0.7789644615255743,0.0003031613894707686,0.00039240945102507946
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003_NA.8,2123.0,0.7742131709487389,0.0003092267614208435,0.00031525017545186684
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_bromii.1,2261.0,0.7734085306338292,0.0016940700605915058,0.001787617930149493
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_NA_NA.2,2227.0,0.7680961201216719,9.855538509061099e-05,0.0002451118314344154
