Row,Column,p_corr
U1,U1,1.0
U1,U10,0.7746998557356328
U1,U100,0.30039861523349803
U1,U101,0.44923855872257107
U1,U102,0.40707469949452796
U1,U103,0.359976794232459
U1,U104,0.5565966882229783
U1,U105,0.4623630712710506
U1,U107,0.4514018307653547
U1,U108,0.4628539591360478
U1,U112,0.46556896094776656
U1,U113,0.2316987126291999
U1,U114,0.5807067764205047
U1,U115,0.5798366526774779
U1,U117,0.12470029356466969
U1,U118,0.32438245258896165
U1,U119,0.5437650398985048
U1,U12,0.05339171715937479
U1,U120,0.5778702527752084
U1,U121,0.12289612983793388
U1,U122,0.34944427378263304
U1,U123,0.5837255333491682
U1,U124,0.29754018945552285
U1,U125,0.548496605764452
U1,U126,0.24947339977438754
U1,U127,0.5040139226101062
U1,U128,0.568034486100935
U1,U129,0.7184001260399566
U1,U13,0.4594681527093764
U1,U130,0.6266948441083424
U1,U131,0.6075683412126629
U1,U132,0.4911778329768518
U1,U133,0.3993629509126531
U1,U134,0.41043922047996806
U1,U135,0.6903623166735225
U1,U136,0.7103040908407025
U1,U137,0.4747905295508295
U1,U138,0.7389097765294622
U1,U139,0.6014893485792445
U1,U14,0.23256801261745239
U1,U140,0.03143298901203195
U1,U141,0.4059087669365852
U1,U142,0.1470016633011265
U1,U143,0.2053534872645077
U1,U145,0.07958742499342362
U1,U146,0.3612114346421169
U1,U147,0.7571715457278824
U1,U148,0.37813830328735687
U1,U149,0.305427794623095
U1,U15,0.5472209471185344
U1,U150,0.6274857064838244
U1,U151,0.3841328817910574
U1,U152,0.41712043127162224
U1,U153,0.776515385398011
U1,U154,0.40681969209935576
U1,U156,0.6358994193745537
U1,U157,0.3449522428512462
U1,U158,0.3485346055466523
U1,U159,0.4837022718511656
U1,U16,0.21112303236746288
U1,U160,0.6243611037372103
U1,U161,0.35577482034724106
U1,U162,0.25616618117796547
U1,U163,0.6758222694724216
U1,U164,0.5758554835157306
U1,U165,0.6759544341039672
U1,U166,0.7029119082627973
U1,U167,0.5785392151600945
U1,U168,0.5408068503871342
U1,U169,0.5443349242242018
U1,U17,0.2914520693282403
U1,U170,0.5029438238732864
U1,U171,0.44122412646871684
U1,U172,0.44338809473819785
U1,U173,0.6793254354523205
U1,U174,0.5164977239082796
U1,U175,0.6456266120890112
