ASV,MannWU_stat,p_value,MSI_pos_mean,MSI_neg_mean,MSI_pooled_stdev,MSI_cohens_d
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus-torques-group_NA.19,2889.5,0.010217649418804273,0.007886104360158078,0.0038108118838455366,0.007182882299813914,0.5673617228028531
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.13,2615.5,0.10201294268982353,0.010537121121999081,0.002012038563919917,0.016254776323936296,0.5244663099747108
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.10,2655.0,0.015823665733717015,0.0010309178423869418,0.000326661467707566,0.0014546873083784353,0.48412904314427707
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.1,2473.0,0.29325054624311875,0.034895083497312046,0.01906064785470339,0.03626405532844284,0.4366427168499629
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_faecis.1,2629.0,0.10537584700336851,0.006339517458997838,0.004270000595759955,0.004807710664859671,0.4304578639401731
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus-torques-group_NA.24,2380.0,0.40672702784919135,0.0019307360522625256,0.0005727378190155455,0.0031591325264000063,0.42986428138058796
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Slackia_isoflavoniconvertens.1,2311.0,0.523814650464007,0.0008446539100007232,0.00025852596203715226,0.001467657739238832,0.3993628298294895
Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae_Butyricicoccus_NA.13,2591.0,0.023600724899524028,0.0002730086352534323,0.00012157382890148265,0.00038581606620713535,0.3925051847650325
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium-sensu-stricto-12_NA.29,2852.5,0.014058595943684762,0.0051423081960711055,0.0022770791788056907,0.0075597411816025325,0.3790115228069272
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Flavonifractor_plautii.2,2479.5,0.028223433786091164,0.0005634046156919093,7.495660027232174e-05,0.0013292326751462445,0.3674661513762801
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.356,2474.0,0.08998246165007434,0.002011184731935852,0.00017419389676982436,0.005013585814012085,0.3664025915407617
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Peptostreptococcus_stomatis.1,2669.5,0.029446380470126737,0.0012544759315069307,0.0006480449823041472,0.0016577920516342905,0.36580640412948634
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus-gauvreauii-group_NA.5,2455.0,0.3235816165465778,0.0028928646886513393,0.001854126658359966,0.0028476038239937944,0.3647761748102067
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.77,2448.0,0.25321585181527617,0.000594123800744341,0.0003066190882921089,0.0008034105482076175,0.3578552871799425
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.61,2556.0,0.029575252377522315,0.0029392977598110214,0.00037595089214890527,0.0072266169229906665,0.3547091114664065
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.6,2146.0,0.8615862807160375,0.002338914982094109,0.0003902286231895113,0.005667987500326218,0.3438056909604056
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium-eligens-group_NA.15,2325.5,0.6074792045026438,0.005590373687941113,0.003925023661889391,0.004902368539166571,0.33970314813068714
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Coprobacter_NA.10,2256.5,0.7408836719479632,0.0011354131981827292,0.0003642785618633589,0.002285097103091307,0.33746252414226513
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.33,2481.0,0.14165336389122524,0.0006593444931685346,0.0002879786700309887,0.001106026324894356,0.33576580844313775
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NA_NA.16,2528.0,0.20387947529496286,0.0017816327090745046,0.0012362078414335867,0.0016341364074547225,0.33376948530903483
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.320,2350.5,0.4213826787257575,0.0021382879207732953,0.0005046625699132077,0.004895674278899891,0.33368750815407194
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.59,2356.0,0.5312698972331884,0.005343154998961974,0.0023576893559552428,0.008983870548181628,0.3323139650104377
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium-coprostanoligenes-group_NA_NA.15,2448.0,0.07914308176537567,0.0011781622496678265,0.0001871763134591186,0.0030096492334095834,0.3292695790618882
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.37,2467.0,0.0887717352470671,0.0016945465785752085,0.00019059355671826228,0.004770808243073461,0.31524071923043084
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Hungatella_hathewayi.2,2414.5,0.1464177204435792,0.0008240061468777715,0.00018082408334044907,0.0020523320618535384,0.31339083742444707
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.47,2223.0,0.8884522920672281,0.02164237237272452,0.010378685811009649,0.03623671410435885,0.3108363117383202
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.92,2416.0,0.26903720829778166,0.0006879788751480136,0.00034098685593399273,0.0011274813048886168,0.3077585568022346
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_nordii.1,2477.0,0.07364668835237013,0.0005308887108236466,0.00022590831462215754,0.000994126315648549,0.306782338824343
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ovatus.2,2529.0,0.07992649435144923,0.006532346415930752,0.0008170344496119276,0.0186780588641605,0.3059906817878906
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.53,2255.0,0.5269233277382808,0.0005577714980193946,5.551318042202043e-05,0.0016421421302883486,0.30585557019305093
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Romboutsia_sedimentorum.1,2495.0,0.07647255886576293,0.002284082377347955,0.0002942221372237963,0.006587389705808911,0.3020711281692435
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_NA.8,2621.0,0.06713408458264998,0.0010479458163516998,0.0005510263983446327,0.0016708046732193055,0.2974132320623709
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas_virosa.2,2345.0,0.347224325043313,0.0006248906712164073,0.00023634158761655458,0.0013093615925082744,0.2967469687693603
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_thetaiotaomicron.1,2244.0,0.8283472962291966,0.021466272868538652,0.004162915759369453,0.058364690559959694,0.29646961104664765
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.52,2371.0,0.49686658767211966,0.009706332748637723,0.006169622889614535,0.011931692382473769,0.2964130942747227
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_NA.26,2322.0,0.4206554361100846,0.00808278746825611,0.00045075895107118583,0.0258422063502982,0.29533192381992013
