ASV,MannWU_stat,p_value,Cancer_pos_mean,Cancer_neg_mean
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.3,13400.0,0.6964048625046209,0.0014036120542759306,0.0009822377095618287
Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.103,12857.0,0.6878338686046785,0.00017681283211964187,0.00017772761270388543
Bacteria_Firmicutes_Clostridia_Oscillospirales_UCG-010_NA_NA.81,12843.5,0.6824285208607743,0.0001378997697374368,0.0002090159566259962
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium_siraeum_group_NA.13,12820.0,0.6768836177762183,0.0002754939735104653,0.0002882152421726584
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_plebeius.2,13336.5,0.6631021277328009,0.0009810966970486032,0.00038573602306356524
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Bacteroides_pectinophilus_group_NA.1,13272.0,0.6625948105989257,0.00028072498869102623,0.00016371382796081933
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.57,12823.0,0.6394729660144542,0.000425342297271039,0.00028785572147384237
Bacteria_Cyanobacteria_Vampirivibrionia_Gastranaerophilales_NA_NA_NA.2,12735.0,0.6355544622904973,0.0007547046466336618,0.001198486572268166
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_sensu_stricto_1_NA.25,12705.0,0.6346698712748808,0.0005303914735220755,0.0004243727601947025
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.18,13331.0,0.6324788836481714,0.00021662111668438864,0.0002267757201636016
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Senegalimassilia_NA.7,12728.0,0.6309019461932941,0.0004122634631018924,0.00039632182593483874
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.10,12628.5,0.629304826050763,0.004805976697781746,0.004447481640849419
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.66,13371.0,0.6255447352529145,0.001194708374553217,0.001180790533951726
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.34,13392.0,0.6094539684100835,0.000318297255105476,0.0002573964943471218
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.18,12724.0,0.6065534608611807,0.0005159910040398072,0.0014996212170757172
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.11,12706.0,0.5956741461387931,0.0008753325795390379,0.001249890552431524
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.78,13465.5,0.5921489997619857,0.0025956476619688603,0.0035839774887081355
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.15,12777.0,0.5903466648514122,0.0011363776319206396,0.0012514030812011627
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_NK4A136_group_NA.10,13410.0,0.5742300408778972,0.00036977410015675,0.00029671522592910303
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.62,12732.0,0.5698626374344677,0.0002308370754415746,0.00018340422221666154
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter_splanchnicus.1,13533.0,0.5653428563575809,0.0005669508632462579,0.00046374805538618467
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_massiliensis.2,12592.0,0.5647482063863132,0.0016451427729950118,0.0013787677446118792
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus_gauvreauii_group_NA.5,12545.0,0.5645411967163865,0.0019250710436029877,0.002220689200303492
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter_NA.91,12747.0,0.5369745654066311,0.00028589238028730815,0.0004498363699497993
Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae_Butyricicoccus_NA.11,12725.0,0.5280089882938255,0.0001491546027391017,0.00015792292762348915
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Intestinimonas_NA.16,12484.5,0.5142796097766416,0.0007886967105320072,0.0008795092069210158
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family_XIII_UCG-001_NA.1,13560.0,0.5115332293788342,0.00034149151222455067,0.00024023361592495355
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter_NA.10,12597.0,0.5096504166218194,0.00027452017743273197,0.000297786070347298
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.3,13437.0,0.49453493428505113,0.0009408118361748532,0.0005713151737805243
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.33,12708.5,0.4925580709052888,0.0003505489249766753,0.00034527095589325345
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.290,12479.5,0.48467583882424015,0.0033936320877275103,0.0017465089340992204
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_faecis.1,13694.0,0.48261084949703614,0.004503420384990838,0.004417785782959886
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.304,12466.0,0.46389624885968095,0.0036333981016315395,0.001653744930110058
Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.9,12491.5,0.45445925487505867,0.00044006976267963046,0.000596142195671463
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.6,12514.0,0.4532472823864313,0.000725177834858463,0.0017318883100451517
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.34,12408.5,0.44583172136558513,0.0011735168811358473,0.0013905338892449086
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_fragilis.4,12367.0,0.43840227851131797,0.007399801099588798,0.006454743458695145
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus_torques_group_NA.24,12444.5,0.4360284164868522,0.0007079633508145328,0.0008866796123846337
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.372,12358.5,0.433578119490863,0.008691299645234709,0.006767765151189698
Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_NA.5,13558.5,0.4299725517652123,0.001790106601616257,0.004061792772341747
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003_NA.5,13775.0,0.42713277931617644,0.001691164551476632,0.0016617660954406882
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_coprocola.4,13679.5,0.421119653950381,0.002073510242183693,0.001432353915188548
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae_RC9_gut_group_NA.44,12538.5,0.414000090655113,0.0018250386527296682,0.00283171682312078
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_bromii.1,12345.5,0.410863035915633,0.001874688094129373,0.0015945726614828807
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.366,12319.0,0.4078773454683092,0.005070202711126659,0.006481315005537967
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_NA.51,12302.0,0.39774969955168626,0.011262435386268742,0.012497859409523094
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.83,13573.0,0.3861468243583639,0.0003050719513183682,0.00019921958116088823
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_NK4A136_group_bacterium.1,13846.0,0.3836156427720847,0.0038195090999383896,0.0033103548443072558
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.63,13579.0,0.38058340595312656,0.00032658709509987744,0.00018080883124472542
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Flavonifractor_plautii.2,13489.0,0.3738049749481569,0.00018233246428421868,5.637788602753492e-05
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.39,12314.0,0.3689230603716692,0.0008543287701879751,0.0006814638299058785
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_vulgatus.4,12294.0,0.367118169716373,0.0019214688366850576,0.0028640215047848415
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.6,13627.5,0.3580042800877292,0.0009848013022574172,0.0005659097031274537
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_salyersiae.1,13590.0,0.35751347364372466,0.00043244432972893625,0.00017492671731973033
