ASV,MannWU_stat,p_value,Cancer_pos_mean,Cancer_neg_mean
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.3,13391.0,0.7041251340330068,0.001401674455592926,0.0009822281976670914
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.103,12857.0,0.6878338686046785,0.00017674834537039882,0.00017772761270388543
Bacteria_Firmicutes_Clostridia_Oscillospirales_UCG-010_NA_NA.81,12843.5,0.6824285208607743,0.00013785699971716062,0.0002090159566259962
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium-siraeum-group_NA.13,12820.0,0.6768836177762183,0.0002738139352461021,0.0002882152421726584
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_plebeius.2,13336.5,0.6631021277328009,0.0009778427800750224,0.00038573602306356524
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Bacteroides-pectinophilus-group_NA.1,13272.0,0.6625948105989257,0.0002806191548846425,0.00016371382796081933
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.57,12823.0,0.6394729660144542,0.000424251855141621,0.00028785572147384237
Bacteria_Cyanobacteria_Vampirivibrionia_Gastranaerophilales_NA_NA_NA.2,12733.0,0.6334887984534978,0.0007540566023012907,0.001198486572268166
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.18,13331.0,0.6324788836481714,0.00021626428120649074,0.0002267757201636016
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Senegalimassilia_NA.7,12726.0,0.628858082768104,0.0004118499554720305,0.00039627694021936654
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.66,13370.0,0.6266674501180807,0.001193233963106526,0.0011807246364472221
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium-sensu-stricto-12_NA.25,12690.0,0.6205089333492649,0.0005275153909538267,0.0004243727601947025
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.34,13391.0,0.610541753574223,0.0003177954835646967,0.0002573964943471218
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.18,12724.0,0.6065534608611807,0.0005157685589901857,0.0014996212170757172
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium-coprostanoligenes-group_NA_NA.10,12596.5,0.6042226126665333,0.004791328018838321,0.004447075957218049
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.11,12703.0,0.5925785402080754,0.0008737576486823387,0.001249890552431524
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.78,13465.5,0.5921489997619857,0.00259415188565977,0.0035839774887081355
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.15,12775.0,0.5877416856835365,0.0011343459189347765,0.0012512537669047742
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.10,13409.0,0.5753337918718012,0.00036800463251918954,0.00029671522592910303
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter_splanchnicus.1,13521.0,0.5753124317108722,0.0005651358543292735,0.00046373921099283243
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.62,12730.0,0.5675267431544262,0.00023045442175746112,0.00018340422221666154
