ASV,MannWU_stat,p_value,mean_cancer,mean_normal
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Hungatella_hathewayi.2,12314.5,0.3260145240402962,0.016936884771279675,0.017882285331162304
Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae_Butyricicoccus_NA.11,12293.5,0.31730862226989187,0.039872994652406415,0.03269349845201238
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae_RC9_gut_group_NA.48,12150.0,0.313289061150527,0.021095442603933867,0.027001214802816764
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Anaerostipes_hadrus.1,12116.0,0.3126839067023191,0.20719735740206566,0.19370791359155312
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Incertae_Sedis_NA.20,12128.5,0.3124641831949164,0.023064320279994992,0.022448283348323664
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter_NA.91,12294.0,0.31134826257049364,0.011647684750513669,0.01431711294401248
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Bacteroides_pectinophilus_group_NA.1,12310.0,0.31012418266465736,0.018657219973009447,0.008216492648625614
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.1,12154.5,0.2994756667258062,0.012079001497194512,0.024911902659527068
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.40,12252.5,0.2928603233548611,0.014965606990146867,0.015510611442158102
Bacteria_Cyanobacteria_Vampirivibrionia_Gastranaerophilales_NA_NA_NA.2,12173.0,0.29236705856867273,0.013803156591324918,0.02855736617412611
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.83,12224.5,0.28813198975668664,0.024740303644968955,0.025536457777303297
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family_XIII_UCG-001_NA.1,12130.5,0.28719196261670055,0.07649667405764966,0.08321209527884753
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus_torques_group_NA.27,12035.5,0.280605160971132,0.0745041222247906,0.07659905302668221
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Slackia_isoflavoniconvertens.1,12167.0,0.27868087009888776,0.01694658299936722,0.031591158871657095
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.15,12239.5,0.2775821309110877,0.00756580420728885,0.006036770362430958
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium_siraeum_group_NA.13,12211.0,0.27725193971909845,0.020128719740330536,0.02579506821018204
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.3,12226.5,0.274431435863948,0.00674837007324317,0.0021554080437329167
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.3,12016.5,0.2732724740456809,0.1728177504708,0.17684843981264353
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_eutactus.1,11951.5,0.2469700568288392,0.051898034398034386,0.06137126600284495
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_massiliensis.1,11942.0,0.2454621903499264,0.14831627796287492,0.18765500137779004
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.63,12148.0,0.24513918630785853,0.03644794338368007,0.023989440686355386
