0,component_1,component_2,pred,true
U5,1.5305098429280215,-1.7661111039116182,1,2
U50,-0.22478000844593513,-0.34662988682221385,3,2
U51,1.212873423199608,0.7070655713658582,2,2
U52,0.13856600089825766,-0.07664097052085111,3,3
U53,-0.3604049332404198,-0.05552119580292657,0,1
U54,0.3481579151842163,0.738014531629775,2,2
U55,0.6074552349512974,0.5673529928606251,2,1
U56,0.259492237110891,0.4738897709615103,2,2
U57,0.6945947440441681,-0.03954212663233268,1,3
U58,0.9968727897042907,-0.18344990202811395,1,1
U59,0.9913834126337765,-0.23810894995396942,1,2
U60,0.6478531571735482,-0.7286300051621013,1,4
U61,0.0012934541777670887,0.38818252711012247,2,3
U63,-0.6659347857168085,0.11111162794978774,0,2
U65,0.04887729652870232,-0.29141956203089403,3,4
U66,-0.24894798389085604,0.6381373073371144,0,4
U67,0.4924435568527658,0.0993608260567901,2,1
U68,0.06222990736646028,0.6646056947144637,2,2
U69,0.07915007674505577,0.1419325993793102,3,3
U70,0.17835860439559137,-0.49949161840233025,3,3
U71,0.5000932461600741,0.07799106899708806,2,1
U72,-0.3692775863103457,0.24483626588918084,0,4
U73,-0.6145277217035703,-0.0355551559140431,0,2
U74,-0.15181590026096015,0.30245922643337786,0,4
U75,-0.24142430810893778,0.14026970340882078,0,2
U76,-0.43866605098162487,-0.15029146016065612,0,1
U77,0.2027483160331964,-0.15687707256703765,3,3
U78,-0.3306794684630354,0.18277590031852783,0,2
U79,-0.08370426546483048,-0.07260589809966672,3,2
U8,1.7493232622730215,-0.4085850644197141,1,4
U80,-0.3882346757551906,0.061201355057492884,0,2
U81,0.8293745664831296,0.3594553816606724,2,1
U82,0.16655003571587954,-0.0064407614696447325,3,3
U83,-0.19831774291923632,0.1741363708637021,0,2
U84,0.21335863406967967,0.29892353458720633,2,3
U86,-0.456603967101002,-0.24131212146291575,0,3
U87,-0.3850178863104202,-0.14421181550517181,0,3
U88,0.6512501369021568,-0.16961901893078007,1,2
U89,0.17016256768329632,0.5736794017472946,2,2
U9,0.8898973779630146,0.11223525544620366,1,4
U90,-0.6864895440277613,-0.22951247551670065,0,3
U91,-0.22273155687965723,0.128041737768962,0,2
U92,0.44284401612105656,-0.7904483704207994,3,3
U93,-0.6682438752811115,-0.2695515718078718,0,3
U94,-0.323320807378469,-0.2541519769961846,0,2
U95,0.18918098705304698,-0.2965913381154517,3,4
U96,-0.005646178642546074,0.17212533721172715,0,1
U97,-0.1294366763091163,-0.025259516688392922,0,1
U98,-0.45362457283605195,-0.3742301737007695,0,2
U99,-0.4266858504682071,-0.14470663804009068,0,2
