clin_var,community,real,prob,fisher_p
BRAF,33,"[1, 1]","[1.6504854368932038, 0.34951456310679613]",1.0
BRAF,50,"[2, 0]","[1.6504854368932038, 0.34951456310679613]",1.0
MSI,0,"[95, 10]","[92.76699029126215, 12.233009708737864]",0.8222680633277497
MSI,1,"[3, 0]","[2.650485436893204, 0.34951456310679613]",1.0
MSI,2,"[18, 1]","[16.786407766990294, 2.2135922330097086]",1.0
MSI,3,"[9, 2]","[9.718446601941748, 1.2815533980582525]",1.0
MSI,5,"[2, 0]","[1.766990291262136, 0.23300970873786409]",1.0
MSI,8,"[7, 0]","[6.184466019417476, 0.8155339805825244]",1.0
MSI,10,"[2, 0]","[1.766990291262136, 0.23300970873786409]",1.0
MSI,11,"[3, 0]","[2.650485436893204, 0.34951456310679613]",1.0
MSI,12,"[4, 0]","[3.533980582524272, 0.46601941747572817]",1.0
MSI,13,"[2, 0]","[1.766990291262136, 0.23300970873786409]",1.0
MSI,18,"[1, 0]","[0.883495145631068, 0.11650485436893204]",1.0
MSI,21,"[2, 0]","[1.766990291262136, 0.23300970873786409]",1.0
MSI,22,"[1, 0]","[0.883495145631068, 0.11650485436893204]",1.0
MSI,23,"[7, 0]","[6.184466019417476, 0.8155339805825244]",1.0
MSI,27,"[3, 0]","[2.650485436893204, 0.34951456310679613]",1.0
MSI,32,"[2, 0]","[1.766990291262136, 0.23300970873786409]",1.0
MSI,33,"[1, 0]","[0.883495145631068, 0.11650485436893204]",1.0
MSI,50,"[2, 0]","[1.766990291262136, 0.23300970873786409]",1.0
