ASV,MannWU_stat,p_value,Local_right_colon_pos_mean,Local_right_colon_neg_mean,Local_right_colon_pooled_stdev,Local_right_colon_cohens_d,Local_right_colon_cliffs_delta
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus-gnavus-group_NA.10,5135.0,0.01512647494373449,0.007562469861304516,0.006391622205427011,0.030243642258837983,0.038713844247226965,0.20387596899224805
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.55,7741.5,0.01778304858279528,0.010038884563327376,0.00867513372093718,0.009054695193922288,0.150612562121978,-0.2002325581395349
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.48,5160.5,0.01778423549667331,0.0015630113104712533,0.002115054070190873,0.0016434751391468923,-0.33589967172012003,0.19992248062015505
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus-torques-group_NA.29,7342.0,0.018279626982954662,0.0003147410169452019,0.00016096670847754116,0.000811686843542716,0.18945029070138944,-0.13829457364341086
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.62,7733.0,0.018478902573615143,0.0033057608254149066,0.0021203177309172916,0.00307939690803961,0.3849595001549462,-0.19891472868217056
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.64,7705.5,0.02122125268796185,0.005310407857988939,0.003553937534247685,0.004741992620207066,0.3704076459875544,-0.19465116279069766
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira_pectinoschiza.2,7682.0,0.02307961859747131,0.0016607248008846088,0.0012001807154498965,0.0014095612795013142,0.32672867234097636,-0.1910077519379845
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium-sensu-stricto-12_NA.29,5234.0,0.024106790607440427,0.0031709393546614003,0.003999194376203916,0.01286561955557469,-0.06437739107430951,0.18852713178294572
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_7_NA.11,7457.0,0.02509344527444184,0.004028488665950895,0.0036617986654827314,0.022069638445935763,0.016615134016193717,-0.15612403100775193
Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_NA.4,7299.0,0.02575541880787911,0.002605440925562783,0.0006682193465434305,0.009747566591501196,0.19873899406939127,-0.13162790697674417
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.383,7123.0,0.026604386952536974,0.000986588845353537,0.00010015656477703615,0.005752144102289401,0.15410467206892356,-0.10434108527131783
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214-group_NA.14,7588.5,0.02757713302683433,0.0010867760275258347,0.0007186328141395525,0.0014430032641786891,0.255122924892216,-0.17651162790697675
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214-group_NA.35,7346.0,0.02817087505807057,0.00031535008621578375,0.00015169878941187937,0.0005805659812522448,0.28188233911142824,-0.13891472868217053
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus-torques-group_NA.19,5263.0,0.0293850001992205,0.0038816915440121162,0.006365112927865071,0.006283701162331695,-0.3952163414040255,0.18403100775193798
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.119,7631.0,0.03017429219130204,0.0033469967577398935,0.002662837341449158,0.002915178111988104,0.23468871883925813,-0.18310077519379844
