clin_var,community,real,prob,fisher_p
BRAF,2,"[3, 0]","[2.5555555555555554, 0.4444444444444444]",1.0
BRAF,3,"[3, 0]","[2.5555555555555554, 0.4444444444444444]",1.0
BRAF,4,"[2, 0]","[1.7037037037037037, 0.2962962962962963]",1.0
BRAF,5,"[2, 0]","[1.7037037037037037, 0.2962962962962963]",1.0
BRAF,6,"[1, 0]","[0.8518518518518519, 0.14814814814814814]",1.0
BRAF,7,"[0, 0]","[0.0, 0.0]",1.0
BRAF,8,"[3, 0]","[2.5555555555555554, 0.4444444444444444]",1.0
BRAF,9,"[2, 0]","[1.7037037037037037, 0.2962962962962963]",1.0
BRAF,10,"[6, 2]","[6.814814814814815, 1.1851851851851851]",1.0
BRAF,11,"[1, 1]","[1.7037037037037037, 0.2962962962962963]",1.0
BRAF,12,"[1, 0]","[0.8518518518518519, 0.14814814814814814]",1.0
BRAF,13,"[15, 3]","[15.333333333333334, 2.6666666666666665]",1.0
BRAF,14,"[1, 0]","[0.8518518518518519, 0.14814814814814814]",1.0
BRAF,15,"[0, 0]","[0.0, 0.0]",1.0
BRAF,16,"[4, 0]","[3.4074074074074074, 0.5925925925925926]",1.0
BRAF,17,"[3, 0]","[2.5555555555555554, 0.4444444444444444]",1.0
BRAF,18,"[3, 0]","[2.5555555555555554, 0.4444444444444444]",1.0
BRAF,19,"[2, 0]","[1.7037037037037037, 0.2962962962962963]",1.0
BRAF,20,"[1, 0]","[0.8518518518518519, 0.14814814814814814]",1.0
BRAF,21,"[0, 0]","[0.0, 0.0]",1.0
MSI,0,"[16, 2]","[16.682926829268293, 1.3170731707317072]",1.0
MSI,1,"[4, 0]","[3.707317073170732, 0.2926829268292683]",1.0
MSI,2,"[3, 0]","[2.780487804878049, 0.2195121951219512]",1.0
MSI,3,"[3, 0]","[2.780487804878049, 0.2195121951219512]",1.0
MSI,4,"[2, 0]","[1.853658536585366, 0.14634146341463414]",1.0
MSI,5,"[2, 0]","[1.853658536585366, 0.14634146341463414]",1.0
MSI,6,"[1, 0]","[0.926829268292683, 0.07317073170731707]",1.0
MSI,7,"[0, 0]","[0.0, 0.0]",1.0
MSI,8,"[3, 0]","[2.780487804878049, 0.2195121951219512]",1.0
MSI,9,"[2, 0]","[1.853658536585366, 0.14634146341463414]",1.0
MSI,10,"[7, 1]","[7.414634146341464, 0.5853658536585366]",1.0
MSI,11,"[1, 1]","[1.853658536585366, 0.14634146341463414]",1.0
MSI,12,"[1, 0]","[0.926829268292683, 0.07317073170731707]",1.0
MSI,13,"[16, 2]","[16.682926829268293, 1.3170731707317072]",1.0
MSI,14,"[1, 0]","[0.926829268292683, 0.07317073170731707]",1.0
MSI,15,"[0, 0]","[0.0, 0.0]",1.0
MSI,16,"[4, 0]","[3.707317073170732, 0.2926829268292683]",1.0
MSI,17,"[3, 0]","[2.780487804878049, 0.2195121951219512]",1.0
MSI,18,"[3, 0]","[2.780487804878049, 0.2195121951219512]",1.0
MSI,19,"[2, 0]","[1.853658536585366, 0.14634146341463414]",1.0
MSI,20,"[2, 0]","[1.853658536585366, 0.14634146341463414]",1.0
MSI,21,"[0, 0]","[0.0, 0.0]",1.0
